timestamp,desired,ready
1788458052.232,2,2
1788458054.373,2,2
1788458056.458,2,2
1788458058.570,2,2
1788458060.678,2,2
1788458062.822,2,2
1788458064.924,2,2
1788458067.007,2,2
1788458069.185,2,2
1788458071.310,2,2
1788458073.396,2,2
1788458075.503,2,2
1788458077.840,2,2
1788458079.977,2,2
1788458082.095,2,2
1788458084.268,4,2
1788458086.452,4,2
1788458088.675,4,2
1788458090.807,4,2
1788458093.040,4,2
1788458096.314,4,2
1788458098.456,4,2
1788458101.895,4,2
1788458104.527,4,2
1788458106.676,4,2
1788458108.844,4,4
1788458111.063,4,4
1788458113.233,4,4
1788458115.697,4,4
1788458118.194,4,4
1788458120.315,4,4
1788458122.509,4,4
1788458124.599,4,4
1788458126.896,4,4
1788458129.020,4,4
1788458131.162,4,4
1788458133.386,4,4
1788458135.538,4,4
1788458138.206,4,4
1788458140.382,4,4
1788458142.526,4,4
1788458144.653,4,4
1788458146.767,4,4
1788458148.888,4,4
1788458151.018,4,4
1788458154.414,4,4
1788458156.524,4,4
1788458158.669,4,4
1788458160.789,4,4
1788458162.913,4,4
1788458165.003,4,4
1788458167.129,4,4
1788458169.232,4,4
1788458171.465,4,4
1788458173.616,4,4
1788458175.730,4,4
1788458177.926,4,4
1788458180.023,4,4
1788458182.407,4,4
1788458184.522,4,4
1788458186.604,4,4
1788458188.769,4,4
1788458190.866,4,4
1788458192.999,4,4
1788458195.090,4,4
1788458197.200,4,4
1788458199.383,4,4
1788458201.518,4,4
1788458203.674,4,4
1788458205.886,4,4
1788458208.020,4,4
1788458210.122,4,4
1788458212.242,4,4
1788458214.430,4,4
1788458216.534,4,4
1788458218.678,4,4
1788458220.806,4,4
1788458222.920,4,4
1788458225.015,4,4
1788458227.156,4,4
1788458229.400,4,4
1788458232.376,4,4
1788458234.717,4,4
1788458237.070,4,4
1788458239.548,4,4
1788458242.230,4,4
1788458244.637,4,4
1788458247.121,4,4
1788458249.661,4,4
1788458251.887,4,4
1788458254.058,4,4
1788458256.223,4,4
1788458258.766,4,4
1788458261.029,4,4
1788458263.254,4,4
1788458265.375,4,4
1788458267.640,4,4
1788458269.807,4,4
1788458272.186,4,4
1788458274.395,4,4
1788458276.560,4,4
1788458278.908,4,4
1788458281.678,4,4
1788458283.979,4,4
1788458286.878,4,4
1788458289.136,4,4
1788458291.572,4,4
1788458293.765,4,4
1788458296.657,4,4
1788458298.978,4,4
1788458301.373,4,4
1788458303.890,4,4
1788458306.070,4,4
1788458308.242,4,4
1788458310.357,4,4
1788458312.630,4,4
1788458314.975,4,4
1788458317.160,4,4
1788458319.321,4,4
1788458321.489,4,4
1788458323.824,4,4
1788458326.085,4,4
1788458328.242,4,4
1788458330.377,4,4
1788458332.599,4,4
1788458334.893,4,4
1788458337.083,4,4
1788458339.511,4,4
1788458342.028,4,4
1788458344.210,4,4
1788458346.357,4,4
1788458348.500,4,4
1788458350.636,4,4
1788458352.852,4,4
1788458354.987,4,4
