timestamp,desired,ready
1788457630.296,2,2
1788457632.396,2,2
1788457634.547,2,2
1788457636.643,2,2
1788457638.800,2,2
1788457640.959,2,2
1788457643.087,2,2
1788457645.187,2,2
1788457647.332,2,2
1788457649.476,2,2
1788457651.777,2,2
1788457653.933,2,2
1788457656.184,2,2
1788457658.319,2,2
1788457660.706,2,2
1788457662.911,4,2
1788457665.161,4,2
1788457667.379,4,2
1788457669.554,4,2
1788457671.707,4,2
1788457674.051,4,2
1788457676.217,4,2
1788457678.576,4,2
1788457680.663,4,2
1788457683.184,4,2
1788457685.989,4,2
1788457689.382,4,2
1788457691.454,4,2
1788457693.561,4,2
1788457695.655,4,4
1788457697.790,4,4
1788457699.931,4,4
1788457702.180,4,4
1788457704.298,4,4
1788457706.503,4,4
1788457708.762,4,4
1788457710.960,4,4
1788457713.103,4,4
1788457715.192,4,4
1788457717.310,4,4
1788457719.418,4,4
1788457721.517,4,4
1788457723.614,4,4
1788457725.720,4,4
1788457727.868,4,4
1788457730.056,4,4
1788457732.605,4,4
1788457734.745,4,4
1788457736.954,4,4
1788457739.088,4,4
1788457741.402,4,4
1788457743.609,4,4
1788457746.656,4,4
1788457748.796,4,4
1788457750.912,4,4
1788457753.017,4,4
1788457755.139,4,4
1788457757.305,4,4
1788457759.453,4,4
1788457761.566,4,4
1788457763.676,4,4
1788457765.778,4,4
1788457767.939,4,4
1788457770.051,4,4
1788457772.163,4,4
1788457774.405,4,4
1788457776.541,4,4
1788457778.643,4,4
1788457781.074,4,4
1788457783.171,4,4
1788457785.299,4,4
1788457787.520,4,4
1788457789.793,4,4
1788457792.016,4,4
1788457794.116,4,4
1788457796.273,4,4
1788457798.382,4,4
1788457800.468,4,4
1788457802.596,4,4
1788457804.700,4,4
1788457806.935,4,4
1788457809.070,4,4
1788457811.238,4,4
1788457813.375,4,4
1788457815.530,4,4
1788457817.700,4,4
1788457819.822,4,4
1788457822.008,4,4
1788457824.139,4,4
1788457826.228,4,4
1788457828.395,4,4
1788457830.635,4,4
1788457832.787,4,4
1788457834.924,4,4
1788457837.084,4,4
1788457839.183,4,4
1788457841.381,4,4
1788457843.507,4,4
1788457845.715,4,4
1788457847.813,4,4
1788457849.922,4,4
1788457852.068,4,4
1788457854.180,4,4
1788457856.330,4,4
1788457858.447,4,4
1788457860.553,4,4
1788457864.468,4,4
1788457866.600,4,4
1788457868.911,4,4
1788457871.091,4,4
1788457873.252,4,4
1788457875.338,4,4
1788457877.470,4,4
1788457879.630,4,4
1788457882.292,4,4
1788457884.429,4,4
1788457887.689,4,4
1788457889.876,4,4
1788457892.266,4,4
1788457894.474,4,4
1788457896.583,4,4
1788457898.709,4,4
1788457900.873,4,4
1788457902.951,4,4
1788457905.087,4,4
1788457907.235,4,4
1788457909.376,4,4
1788457911.478,4,4
1788457913.626,4,4
1788457915.850,4,4
1788457917.991,4,4
1788457920.115,4,4
1788457922.260,4,4
1788457924.866,4,4
1788457927.074,4,4
1788457929.282,4,4
1788457931.374,4,4
1788457934.347,4,4
